Language,Language (local),Wiki,Articles,Wiki Size (bytes),Uncompressed Wiki Size (bytes),Tokens,In mBERT?
Sanskrit,संस्कृतम्,sa,"11,464","14,955,373","39,465,426","3,887,185",n
Bavarian,Boarisch,bar,"31,412","32,090,434","20,613,032","3,805,861",y
Assamese,অসমীয়া,as,"7,346","24,228,262","39,105,747","3,736,117",n
Sindhi,سنڌي,sd,"13,742","16,637,023","27,358,061","3,659,636",n
Kurdish (Kurmanji),kurdî,ku,"33,255","19,096,650","18,497,364","3,631,745",n
Limburgish,Limburgs,li,"13,111","14,121,642","18,915,872","3,617,987",n
Cantonese,粵語,zh-yue,"103,034","61,540,033","44,541,936","3,452,890",n
Western Armenian,Արեւմտահայերէն,hyw,"8,449","14,919,244","38,616,999","3,403,375",n
Chuvash,Чӑвашла,cv,"43,908","23,002,688","32,145,878","3,132,272",y
Venetian,vèneto,vec,"66,638","18,582,974","15,203,881","2,980,596",n
Mirandese,Mirandés,mwl,"3,829","9,311,067","15,868,235","2,971,787",n
Bishnupriya Manipuri,বিষ্ণুপ্রিয়া মণিপুরী,bpy,"25,095","4,791,166","31,323,108","2,957,793",y
Yiddish,ייִדיש,yi,"14,921","11,655,441","26,062,117","2,912,843",n
Uyghur,ئۇيغۇرچە / Uyghurche,ug,"4,367","7,407,662","34,753,236","2,864,792",n
Romansh,rumantsch,rm,"3,695","6,956,089","14,638,454","2,798,883",n
Konkani,गोंयची कोंकणी / Gõychi Konknni,gom,"3,720","6,854,767","24,899,361","2,695,293",n
Haitian Creole,Kreyòl ayisyen,ht,"60,033","13,242,371","12,696,037","2,645,669",y
Sakha,саха тыла,sah,"12,779","12,596,041","27,683,431","2,335,184",n
Silesian,ślůnski,szl,"52,481","10,142,694","13,760,300","2,315,511",n
Sicilian,sicilianu,scn,"26,059","11,031,103","11,334,499","2,204,233",y
Shan,ၽႃႇသႃႇတႆး,shn,"7,311","4,655,276","12,973,924","1,928,903",n
Walloon,walon,wa,"14,083","7,298,796","8,131,775","1,849,464",n
Ilokano,Ilokano,ilo,"15,389","16,851,510","9,956,590","1,806,204",n
Maltese,Malti,mt,"3,616","8,750,893","10,879,898","1,754,341",n
Scottish Gaelic,Gàidhlig,gd,"15,145","8,141,928","8,794,206","1,745,934",n
Interlingua,interlingua,ia,"22,591","8,557,425","9,542,017","1,739,754",n
Faroese,føroyskt,fo,"13,387","13,725,874","9,546,003","1,679,729",n
Dutch Low Saxon,Nedersaksies,nds-nl,"7,086","6,933,336","8,850,175","1,630,566",n
Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat,"4,629","9,667,229","20,607,225","1,589,191",n
Sardinian,sardu,sc,"6,727","5,690,851","7,941,724","1,529,970",n
Lingua Franca Nova,Lingua Franca Nova,lfn,"4,025","3,858,170","7,099,293","1,485,866",n
